advertiserurl,jobdescription,jobtitle,skills,tag,,,
"https://www.dice.com/jobs/detail/AUTOMATION-TEST-ENGINEER-Digital-Intelligence-Systems%252C-LLC-Atlanta-GA-30339/10110693/JD1?icid=sr172-6p&q=&l=Atlanta,%20GA","Looking for Selenium engineers...must have solid java coding skills I have several openings some 3 month to hire some 6...must be able to go PERM  This can be someone with 0-5 years of experience. Most important qualities are Eagerness and Aptitude. POSITION PURPOSE - Do you want to be on the forefront of cutting edge technology, introduce solutions to problems that didn’t exist before, and have the ability to see the result of your successes? Our client assures growth by collaborating with development teams and creating tools that aid engineers in building, testing, debugging, and releasing software. We touch millions of users by increasing the rate of development and ensuring our products are methodically tested. We are experts in software health, testability, and sustainability. As a Software Engineer in Test at our client, you can expect to build flexible and scalable solutions while working on some of the most complex challenges in large-scale computing by utilizing your skills in data structures and object oriented programming. MAJOR TASKS, RESPONSIBILITIES AND KEY ACCOUNTABILITIES - Lead and contribute to engineering efforts from planning to execution and delivery to solve complex engineering problems in tools and testing. • Design and build advanced automated testing frameworks. • Build tooling to help Developers measure and increase their velocity. • Adopt best practices in software health, testing, and sustainability. • Analyze and break down complex software systems and collaborate with Development teams to improve the overall design. NATURE AND SCOPE - • Typically reports to Manager Test Engineering • No associates report to the person in this role on a permanent basis • Analyze and resolve complex quality issues critical to solution delivery • Fast-paced environment of freedom and responsibility PREFERRED QUALIFICATIONS • Hands on Java Development experience • Proficient in Ab Initio ETL and Batch testing • Hands-on knowledge of Soap UI, ITKO Lisa, and Selenium • Hands on experience with Unix, KSH, and Bourne Shell Scripting • Strong scripting knowledge with Java, Groovy and Jmeter • Strong development experience working on web services (REST and SOAP) • Experience building test automation frameworks for web services using Soap UI, Groovy, or Lisa • Proficient in SQL • Working knowledge of SVN and Jenkins – build and development process • eCommerce/Retail QA experience • Excellent written and verbal communication skills • Self-motivated with a strong work ethic and a positive attitude • Desire to work in a fast-paced, results orientated team • Experience with a scripting language such as Perl • Passion to understand, learn, dissect and improve new technologies • Proficient in one or more of the following: Retail applications, Windows platform, UNIX platforms, JAVA, Relational Databases, Websphere Application Server, Websphere Commerce, Websphere MQ • Comprehensive understanding of systems, applications and networks KNOWLEDGE, SKILLS, ABILITIES AND COMPETENCIES - • Proficient in one or more of the following: Retail applications, Windows platform, UNIX platforms, MVS COBOL, JAVA, J2EE, Relational Databases, Websphere Application Server, Websphere Commerce, Websphere MQ, Networking (Voice, LAN, WAN), SAP, Siebel, Peoplesoft • Comprehensive understanding of systems, applications and networks • Strong problem solving and analytical skills • Strong oral and written communication skills • Ability to coordinate and collaborate across cross-functional teams ",AUTOMATION TEST ENGINEER,SEE BELOW,automation,,Buckets:,"tag:          
-automation
-it
-backend_dev
-devops
-networks
web_dev
frontend_dev
software
pm
testing
security
mobile_dev
data_engineer
data_analyst
hardware
fullstack
frontend
databases
systems
data_scientist
embedded
ux
cloud
quality
mainframe"
"https://www.dice.com/jobs/detail/Information-Security-Engineer-University-of-Chicago%2526%252347IT-Services-Chicago-IL-60637/10114469/100028?icid=sr3214-108p&q=&l=Chicago,%20IL","The University of Chicago has a rapidly growing security program with many opportunities for a motivated person to work in a variety of roles and many technical areas.  This position is responsible for providing incident response, information security assessment, monitoring, and system administration under the general direction of the Information Security Officer and the Lead Information Security Engineer. Essential Functions: Execute IT Security Network Monitoring and Incident Response procedures. Lead or participate in IT Security projects. Administer IT Security systems, including updates, backups, and upgrades Consult, advise, and provide security assessment services to application development or acquisition projects to assess security requirements and controls and to ensure that security controls are implemented as planned. Research security issues and contribute to IT Security communications, web pages, blogs, and awareness materials. Document internal processes, write security standards and guidelines. Other duties as assigned  Qualifications:Bachelor's degree OR a minimum of four years of experience in the Information Technology field OR an equivalent combination of education and experience required.  Minimum two years of professional experience in a technical Information Security role required. Experience administering linux/unix systems is required. Experience administering Windows systems is preferred. Experience with programming or scripting languages such as Perl or Python strongly preferred.  The University of Chicago is an Affirmative Action/Equal Opportunity/Disabled/Veterans Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national or ethnic origin, age, status as an individual with a disability, protected veteran status, genetic information, or other protected classes under the law. For additional information please see the University's Notice of Nondiscrimination.Staff Job seekers in need of a reasonable accommodation to complete the application process should call 773-834-1841 or email talentacquisition@uchicago.edu with their request.",Information Security Engineer,"linux/unix, network monitoring, incident response, systems administration, security accessment",it,,"DevOps
PM (project management)
Testing
mainframe
Systems Engineering (systems)
AI/ML
Computer Vision
Graphics
HCI (UX)
Data Scientist
Data Analyst
Data Engineer
Hardware
Embedded
Databases
Security
Cloud
Web dev
IT/SRE
Game dev
Networks
Software Engineer/Developer

- Front End
- Back End
- Full Stack
- Mobile
QA
Quant
OS/Compiler",qa
"https://www.dice.com/jobs/detail/Business-Solutions-Architect-Galaxy-Systems%252C-Inc.-Schaumburg-IL-60193/CXGALXYS/2016-7082?icid=sr3600-120p&q=&l=Chicago,%20IL","GalaxE.SolutionsEvery day, our solutions affect people throughout the world. From Fortune 100 companies to start-ups, GalaxE develops and implements strategic projects that are critical to the success of customers’ businesses and the lives of tens of millions of people. For over twenty-five years, we have grown and evolved into a multi-national firm that employs over 2000 team members worldwide. But we’re not done evolving. It took collaboration and innovation to get here, and it takes collaboration and innovation to get where we (and our customers) want to be tomorrow.   What does this mean for our employees? They have the security of an established company, with the benefits of working for a company where great minds, hard work, leadership and innovation are highly regarded and rewarded. As Thomas Edison said, “There’s a way to do it better – find it”. We want our employees to find it. We’re looking for creative people, with an entrepreneurial spirit, looking to work on awesome projects! Sound like you? Come work with us! Find out for yourself what it means to be part of the GalaxE team. It’s not always easy, but important work never is. #WeAreGalaxE  Develop a practical roadmap for an enterprise-wide BI reporting and analytics platform with consideration to business objectives, technological considerations and budget. Define the overall BI data architecture which could include: ETL processes, ODS, EDW, data marts and data lakes.Provide BI technical and architectural guidance to project and project teams to ensure that new initiatives enable effective data reporting.Develop new reporting solutions if requiredIdentify, evaluate, and provide proposals for solutions to identified process and data quality issuesDocument best practices and methodologies for development standards, data governance, version control, deployment and change management.Perform quality assurance testing of reports and dashboards, and perform user acceptance testing (UAT). Technical Experience:   Core understanding of Business Intelligence / data warehousing technologies, methodologies, and techniques of: data discovery, data sources, presentation layer, etc., with proven experience with delivering successful solutionsExcellent knowledge of data warehouse principles and reporting.Experience in the design and building of enterprise data warehouses.Extensive experience in BI report, web and mobile dashboard development. Experience in multiple database platformsExperience with data analysis, assessing data quality and developing corrective actionsThorough understanding of complex large scale data modelsUnderstanding of common SDLC practices/methodologiesExperience working with end users to gather requirementsExperience using data discovery toolsUnderstanding of RDBMS  ",Business Solutions Architect,"Enterprise Solutions Architecture, business inteligence, reports, reporting",architect,,,bi
"https://www.dice.com/jobs/detail/Java-Developer-%2528mid-level%2529%2526%252345-FT%2526%252345-GREAT-culture%252C-modern-technologies%252C-career-growth-TransTech-LLC-Bolingbrook-IL-60440/10113627/536964?icid=sr3495-117p&q=&l=Chicago,%20IL","Java DeveloperFull-time/direct-hireBolingbrook, IL Our client is a leading edge software development organization in a unique and interesting industry, and will provide training to help in on boarding.   They have an excellent culture which is energetic, challenging, team oriented, casual (jeans are OK), have work/life balance, and an outstanding benefits package. They encourage communication and have an atmosphere where creative bright minds are rewarded.  They are looking for a Java Developer to join their company.  This position will give someone the ability to have input in to systems design and grow with the company.  This person will work with a team that is focused on the development and maintenance of various applications supporting their clients.  This position will be building applications from scratch and be very involved in the implementation process.  The ability to communicate and work directly with clients is essential. The successful candidate will be a self-directed problem solver with experience in application design, Java/JDBC development, and multi-threading. If you are interested, please email your resume or contact KGalecki@TransTechIT.com Overview:The primary application this person will initially be working on serves as a middle tier; backed by a relational database (Oracle, SQL Server, MySQL) via JDBC, and fronted by the company’s transaction-based law enforcement message switch via proprietary TCP/IP protocols. Primary Responsibilities:- Develop robust, high performance, flexible applications- Analyze and diagnose application errors- Write application documentation- Clearly communicate status to management Required Skills:- Core Java with experience creating JDBC interfaces to relational Databases- Multithreading (basic experience)- Able to develop and work on a Linux, AIX, or a Unix derived OS - SQL- Socket level messaging (basic experience)- Understanding of data structures- Self-directed problem solving- Be able to clearly communicate both verbally and in writing- Bachelors Degree in Computer Science Preferred Skills:- C and/or C++ - Knowledge of one or more scripting languages- Experience with some type of version control tool, preferably a DVCS- Socket level messaging Non-Technical Requirements:- Must be able to pass state and federal background checks for all states in the union- Willingness to travel throughout the United States as required (less than 20%)- Minimum 3 years relevant experience ","Java Developer (mid level)- FT- GREAT culture, modern technologies, career growth",Please see job description,backend_dev,,,architect
"https://www.dice.com/jobs/detail/DevOps-Engineer-Matrix-Resources-Atlanta-GA-30301/matrixga/110801?icid=sr64-3p&q=&l=Atlanta,%20GA","Midtown based high tech firm has an immediate need for an innovative DevOps Engineer to help define Dev / Ops related processes, build out the automation.  In this position, the Dev / Ops Engineer will need to engineer technical solutions as well as perform process engineering. The ideal candidate has strong scripting skills for automation as well experience with configuration management, server deployment, and continuous integration and experience with tools such as Chef, Puppet, etc.  Must have experience with virtualization using VMware and Linux experience is preferred.  Experience with GO, Docker, Ansible, Microservices, and the Cloud are highly desired.   This is a permanent position with an innovative technology firm in Midtown that offers excellent benefits including bleeding edge technology, very generous PTO, matching 401(k), high-tech office environment, casual dress and a collaborative culture.  Need is IMMEDIATE!!    Category: Developer / Architect -Other",DevOps Engineer,"Configuration Management, Developer, Linux, Management, Process Engineering, VMware",devops,,,ui
"https://www.dice.com/jobs/detail/SAP-FICO-Architect-Yash-Technologies-Chicago-IL-60601/10111847/550818?icid=sr3492-117p&q=&l=Chicago,%20IL","We are looking for a Senior SAP FICO Architect to join us fulltime and support our ongoing projects and customers. Must have excellent Pre-sales experience.Consultant should be ready for 100% travel. If interested, Please send us your updated resume, best time and contact numbers to girish(dot)bandaru(at)yash(dot)com to discuss more on this opportunity. Thanks & Regards Girish BandaruYASH Technologies773-828-4341girish.bandaru@yash.com",SAP FICO Architect,"FICO, AR, AP, Asset Management, HAHA",architect,,,computer_vision
"https://www.dice.com/jobs/detail/Network-Engineer-Noble1-Atlanta-GA-30301/90884761/211?icid=sr242-9p&q=&l=Atlanta,%20GA","Network Engineer Job Description A Network Engineer is responsible for analyzing, designing, installing, configuring, maintaining and repairing of network infrastructure and application components. A Network Engineer performs a wide variety of evaluation, maintenance, installation and training tasks to ensure the computer network performance meets company and user satisfaction. A Network Engineer also provides direction, information, and recommendations regarding network configurations and installations. PRIMARY DUTIES AND RESPONSIBILITIES:   * Maintain a thorough understanding of the basics behind the Internet and its workings (DNS, Security, IP Routing, HTTP, VPN, Email Routing, SPAM, etc.) * Configure and setup Cisco Firewalls, VPN Concentrators and Security appliances for access to vital business applications * Design, setup and configure complex switching environments * Design, setup and configure complex wireless networking that supports open or secured access and the ability to support voice and video applications * Maintain a thorough understanding of Local Area Networking * Assist in the design of multi-server environments including IP address schemes, DNS, WINS, EtherChannel (Bonding), etc. * Configuring and installing client and server network software for upgrading and maintaining network and telecommunication systems. * Maintaining multi-site network operations and software applications, operating systems and regular maintenance with both private and public facilities * Managing assigned projects and program components to deliver services in accordance with established objectives. * Responding to inquiries from staff, administrators, service providers, site personnel and outside vendors and etc. to provide technical assistance and support * Supervising the administration of systems and servers related network to ensure availability of services to authorized users.  Date Posted: 06/10/2016",Network Engineer,"Cisco, DNS, HTTP, Networking, Network Engineer, Security, Video, VPN, Wireless",networks,,,data_scientist
"https://www.dice.com/jobs/detail/Sr.-Web-Application-Developer-%2528Cloud-Team%2529-%2526%252345-Chicago-Bluebeam-Software%252C-Inc.-Chicago-IL-60611/10110132/377813?icid=sr3452-116p&q=&l=Chicago,%20IL","Bluebeam is looking for talented sr. web developers with a passion for building robust, performant, scalable, high availability web applications. You should have extensive web development experience including designing RESTful services utilizing relational and no-sql databases in a testable framework.  Want a peek at who you would be working with? Our software developers are friendly, fun, intelligent, hard-working team members devoted to developing software right.  They have an ability to see the big picture throughout the design and development process.  We are highly-collaborative so you should have a capacity to contribute to and learn from the team in constructive debates in order to coalesce multiple points of view into effective unified solutions.  We work in small fast-paced scrum-agile teams. You would be working alongside software engineers, and product and project managers who are self-starters passionate about delivering clean, dependable software solutions.  To work well with the team you should have an ability to clearly articulate solutions to complex problems both to technical and non-technical people.   What we'd need to see:5+ years of experience in a related field (Candidates will be considered for engineer or senior engineer based on experience)Bachelor’s degree or higher in a computer science or equivalent fieldExtensive use of APIs and understanding of HTTP and REST architectureExperience using OO methodologies in designing software solutionsStrong understanding of design patternsProven ability to work in a rapid release production environmentFull understanding of the SDLC Experience with developing scalable software systemsAbility to clearly articulate solutions to complex problems; when developing solutions, ability to see the big picture What we’d love to seeComfort with working in an Agile/SCRUM environmentProven Web Development experience in .NET technologies, particularly C# and Web APIUnderstanding of machine learning algorithmsExperience with cloud technologies such as Azure or AWSExperience developing microservice-based architecturesAbility and propensity to generate and share extremely delicious baked goods  If you think you are a good match for Bluebeam, please send the following:Cover Letter (Try to show us who you are.  If you send us the generic one you send to everyone else, we will be bummed.)ResumeSamples of your web development work (Be prepared to discuss) Learn more about Bluebeam here: http://careers.bluebeam.com/. ",Sr. Web Application Developer (Cloud Team) - Chicago,".NET , C#, MVC, RESTful web services, HTTP, AWS, Azure, OOP",web_dev,,,
"https://www.dice.com/jobs/detail/Front-End-Developer-Genesis10-New-York-NY-10001/gentx001/16-03932?icid=sr14288-477p&q=&l=California,%20Us,%20CALIFORNIA","This is a fulltime position for a Javascript developer for a financial software, data, and media company. This role is based our of the Midtown, NY location (candidates must work onsite). You'll be part of a team working on the application that is the glue that holds the firm's main product together and is used as a communication tool, a price dissemination system and a way to receive information from all other applications within the firm. Responsibilities:   Help us design, create and build our next-generation user interface Be a key contributor in the re-architecting of our application service layers to improve our scalability, stability and performance Work with the team, our product and our customers to define priorities and the technology we use Work with other teams and learn about our search infrastructure, core databases and how we support hundreds of applications through our APIs Required Skills and Experience:   3+ years of production-level development Solid JavaScript knowledge Must want to and like working on UI Preferred:   An understanding of C++ fundamentals Experience working on other highly visible applications  Start Date: 06/03/2016",Front End Developer,"C++, Developer, Development, JavaScript, User Interface",frontend_dev,,,
"https://www.dice.com/jobs/detail/Application-Support-Engineer-VanderHouwen-%2526-Associates%252C-Inc.-Seattle-WA-98104/vhassoc/31191-1807-MH58?icid=sr14604-487p&q=&l=California,%20Us,%20CALIFORNIA","SummaryOur client is the leading provider of online video publishing and management solutions * millions of media files and process millions of hits per day. Media companies rely on their cloud-based video platform as their open, central hub for managing, monetizing, and syndicating billions of internet video views each year. Our client*s services provide unmatched versatility for designing and supporting streaming video businesses on PCs, mobile devices, and TV. Some of their customers include SyFy, Fox Sports Network, NBC Sports, National Geographic, Comcast, British Telecom, Travel Channel, and more. They are looking for an Application Support Engineer (or a Junior Technologist) to join a growing team to provide support to our high profile media customers. The Application Support Engineer is a technical detective * not only do they diagnose and investigate customer issues, they are also responsible for understanding how each of the services within the client Service Oriented Architected environment work together, as well as ensuring that the overall health of our services is maintained. The ideal ASE is required to have solid written and verbal communication skills, a strong technical mindset, and a knack for solving problems. If your ideal job is to read a list of steps and perform them in order, this is not the job for you. The ASEs like to get their hands dirty and figure things out themselves. If a customer reports an issue, our ASEs dive right in and root out the cause. They're the type of people who get a new toy and take it apart to figure out how it works. They don't need an instruction manual. Every day in the life of our ASE is different from the last. One day, you may be in charge of investigating a complex customer issue that requires diving into custom Java code. The next, you may be tasked with monitoring system health and investigating environmental issues that arise. After that, you may be debugging a Flash, iOS, or HTML5 player for a high profile client.ResponsibilitiesOperate and support a suite of Java-based Web Services. Work with ticketing system to respond to customer issues.Work with internal team to monitor, isolate and resolve customer-impacting conditions in multiple data centers.Diagnose problems with our Web-based enterprise applications.Documentation of processes involved with support duties for internal customers and end-users.Contribute in writing and in person to root cause analysis. Participate in the development and testing of internal tools, scripts and other coding projects to interface with RESTful Web Services.Support deployment of enterprise web services in multiple data centers.Act as Incident Response point communicating incident status regularly to internal and external customers.Work closely with internal teams and third party providers to deliver highly available, performant web services for customers. Work with application developers, network operations, and our QA team to troubleshoot and isolate service issues. Diagnose and analyze content issues reported by clients. Support and diagnose playback issues on mobile Apps for Windows Mobile, iOS, Androids, tablets, and any future device.QualificationsA keen analytical, structured and detail-oriented approach to problem solving and troubleshooting. Customer-first attitude and strong written and verbal communication skills. Adept and comfortable working in a rapidly changing environment required.Foundational knowledge of the HTTP and client/server interactions. Experience working with and supporting web based services and applications.Experience using HTTP debugging tools. Strong foundation in one or more of following technologies desired: Java, Groovy, Ruby, JavaScript, and JQuery.Foundational knowledge of Linux OS and command line operations.Fundamental knowledge of video codecs, containers, and formats.Bonus Experience:Video encoding and transcoding systems administration and operation.Familiarity with shell scripting and GNU tools.Experience with Splunk or other log-based troubleshooting tool a plus.",Application Support Engineer,(See Job Description),mobile_dev,,,
